P1,M1,P2,M2,P3,M3,P4,M4,P5,M5,P6,M6,P7,M7,P8,M8
$3.09,206%,$6.63,221%,$11.34,252%,$15.71,262%,$6.43,107%,$4.13,46%,$6.13,58%,$8.70,73%
$7.41,89%,$4.83,29%,$14.06,56%,$21.44,64%,$30.84,93%,$23.78,48%,$30.31,52%,$37.13,56%
$13.50,28%
$2.00,97%,$5.67,138%,$9.61,156%,$12.45,151%,$2.58,31%,$3.52,28%,$6.18,43%,$9.61,58%
$2.50,121%,$6.67,162%,$10.01,162%,$13.59,165%,$4.30,52%,$5.73,46%,$9.15,63%,$12.48,76%
$4.98,41%,$17.58,72%,$34.24,94%,$48.29,99%,$66.05,135%
$43.60,156%,$88.89,159%,$139.90,167%,$191.93,172%,$242.89,217%,$293.85,175%,$345.16,176%
$2.25,88%,$6.10,120%,$9.41,123%,$1.40,14%,$5.22,51%,$6.38,42%,$8.81,49%,$12.44,61%
$13.05,67%,$32.51,83%
$7.06,65%,$26.99,124%,$47.88,147%,$60.16,138%,$79.58,183%
$4.61,25%,$21.79,58%,$39.93,71%,$21.26,29%,$30.88,41%
$5.06,50%,$22.80,113%,$42.06,139%,$24.37,61%,$35.40,88%
$5.56,53%,$23.80,113%,$43.56,137%,$26.37,62%,$37.90,90%
$3.08,110%,$8.07,144%,$12.79,152%,$3.64,32%,$6.80,60%,$2.45,15%,$6.75,34%,$8.23,37%
$7.69,95%,$4.66,29%,$12.27,50%,$20.12,62%,$29.78,92%,$19.37,40%,$24.23,43%,$30.54,47%